speaker,recording,vowel_id,pre_word,word,fol_word,raw_label,phoneme,in_word_index,condition,formant,rmse_hz
F1,usctimit_f1_011_015,0-0-38-4,a,lively,home,iy,i,0,meta,F3,279.0603199397022
F1,usctimit_f1_011_015,0-0-38-4,a,lively,home,iy,i,0,nvidia,F1,54.15212301419491
F1,usctimit_f1_011_015,0-0-38-4,a,lively,home,iy,i,0,nvidia,F2,131.71458374044562
F1,usctimit_f1_011_015,0-0-38-4,a,lively,home,iy,i,0,nvidia,F3,65.4569982338346
F1,usctimit_f1_011_015,0-0-7-1,you,can,sp,ae,æ,0,orig_mri,F1,58.627738929156585
F1,usctimit_f1_011_015,0-0-7-1,you,can,sp,ae,æ,0,orig_mri,F2,55.81756985255416
F1,usctimit_f1_011_015,0-0-7-1,you,can,sp,ae,æ,0,orig_mri,F3,378.3668059768625
F1,usctimit_f1_011_015,0-0-7-1,you,can,sp,ae,æ,0,meta,F1,146.16801600958874
F1,usctimit_f1_011_015,0-0-7-1,you,can,sp,ae,æ,0,meta,F2,166.3243902531501
F1,usctimit_f1_011_015,0-0-7-1,you,can,sp,ae,æ,0,meta,F3,148.16533128005608
F1,usctimit_f1_011_015,0-0-7-1,you,can,sp,ae,æ,0,nvidia,F1,440.4370562438627
F1,usctimit_f1_011_015,0-0-7-1,you,can,sp,ae,æ,0,nvidia,F2,542.5232808575232
F1,usctimit_f1_011_015,0-0-7-1,you,can,sp,ae,æ,0,nvidia,F3,675.8597482987411
F1,usctimit_f1_011_015,0-0-12-3,sp,exam,review,ae,æ,0,orig_mri,F1,209.42499520628786
F1,usctimit_f1_011_015,0-0-12-3,sp,exam,review,ae,æ,0,orig_mri,F2,203.04568144704126
F1,usctimit_f1_011_015,0-0-12-3,sp,exam,review,ae,æ,0,orig_mri,F3,399.85330318094003
F1,usctimit_f1_011_015,0-0-12-3,sp,exam,review,ae,æ,0,meta,F1,426.7182173157231
F1,usctimit_f1_011_015,0-0-12-3,sp,exam,review,ae,æ,0,meta,F2,143.57818408375678
F1,usctimit_f1_011_015,0-0-12-3,sp,exam,review,ae,æ,0,meta,F3,138.72216244667277
F1,usctimit_f1_011_015,0-0-12-3,sp,exam,review,ae,æ,0,nvidia,F1,139.93069594439484
F1,usctimit_f1_011_015,0-0-12-3,sp,exam,review,ae,æ,0,nvidia,F2,222.27688503687108
F1,usctimit_f1_011_015,0-0-12-3,sp,exam,review,ae,æ,0,nvidia,F3,118.148615650141
F1,usctimit_f1_011_015,0-0-15-7,every,formula,sp,ah,ə,0,orig_mri,F1,30.98475716877855
F1,usctimit_f1_011_015,0-0-15-7,every,formula,sp,ah,ə,0,orig_mri,F2,69.0880321191091
F1,usctimit_f1_011_015,0-0-15-7,every,formula,sp,ah,ə,0,orig_mri,F3,378.09616504578656
F1,usctimit_f1_011_015,0-0-15-7,every,formula,sp,ah,ə,0,meta,F1,55.07082124280846
F1,usctimit_f1_011_015,0-0-15-7,every,formula,sp,ah,ə,0,meta,F2,67.05871024065395
F1,usctimit_f1_011_015,0-0-15-7,every,formula,sp,ah,ə,0,meta,F3,356.7082096945302
F1,usctimit_f1_011_015,0-0-15-7,every,formula,sp,ah,ə,0,nvidia,F1,224.64498595896285
F1,usctimit_f1_011_015,0-0-15-7,every,formula,sp,ah,ə,0,nvidia,F2,309.6836944461354
F1,usctimit_f1_011_015,0-0-15-7,every,formula,sp,ah,ə,0,nvidia,F3,227.22434414600886
F1,usctimit_f1_011_015,0-0-26-0,roll,of,wire,ah,ə,0,orig_mri,F1,44.15172217252746
F1,usctimit_f1_011_015,0-0-26-0,roll,of,wire,ah,ə,0,orig_mri,F2,54.706135472932985
F1,usctimit_f1_011_015,0-0-26-0,roll,of,wire,ah,ə,0,orig_mri,F3,745.6863378237522
F1,usctimit_f1_011_015,0-0-26-0,roll,of,wire,ah,ə,0,meta,F1,41.599025721556785
F1,usctimit_f1_011_015,0-0-26-0,roll,of,wire,ah,ə,0,meta,F2,70.93474011300266
F1,usctimit_f1_011_015,0-0-26-0,roll,of,wire,ah,ə,0,meta,F3,715.2618814658995
F1,usctimit_f1_011_015,0-0-26-0,roll,of,wire,ah,ə,0,nvidia,F1,203.13647075102122
F1,usctimit_f1_011_015,0-0-26-0,roll,of,wire,ah,ə,0,nvidia,F2,107.69723952938405
F1,usctimit_f1_011_015,0-0-26-0,roll,of,wire,ah,ə,0,nvidia,F3,872.3031200185567
F1,usctimit_f1_011_015,0-0-37-0,in,a,lively,ah,ə,0,orig_mri,F1,74.55609712807073
F1,usctimit_f1_011_015,0-0-37-0,in,a,lively,ah,ə,0,orig_mri,F2,207.5033842291444
F1,usctimit_f1_011_015,0-0-37-0,in,a,lively,ah,ə,0,orig_mri,F3,797.5820450808058
F1,usctimit_f1_011_015,0-0-37-0,in,a,lively,ah,ə,0,meta,F1,80.67136656810563
F1,usctimit_f1_011_015,0-0-37-0,in,a,lively,ah,ə,0,meta,F2,158.44105801763752
F1,usctimit_f1_011_015,0-0-37-0,in,a,lively,ah,ə,0,meta,F3,738.7721373911861
F1,usctimit_f1_011_015,0-0-37-0,in,a,lively,ah,ə,0,nvidia,F1,89.97924013081169
F1,usctimit_f1_011_015,0-0-37-0,in,a,lively,ah,ə,0,nvidia,F2,201.09207750098417
F1,usctimit_f1_011_015,0-0-37-0,in,a,lively,ah,ə,0,nvidia,F3,845.7579552129343
F1,usctimit_f1_011_015,0-0-10-4,before,thursday's,sp,ey,eɪ,0,orig_mri,F1,100.71780186674934
F1,usctimit_f1_011_015,0-0-10-4,before,thursday's,sp,ey,eɪ,0,orig_mri,F2,68.19750546180582
F1,usctimit_f1_011_015,0-0-10-4,before,thursday's,sp,ey,eɪ,0,orig_mri,F3,378.6221392628231
F1,usctimit_f1_011_015,0-0-10-4,before,thursday's,sp,ey,eɪ,0,meta,F1,276.79030051022085
F1,usctimit_f1_011_015,0-0-10-4,before,thursday's,sp,ey,eɪ,0,meta,F2,74.72577833508313
F1,usctimit_f1_011_015,0-0-10-4,before,thursday's,sp,ey,eɪ,0,meta,F3,229.48446671894746
F1,usctimit_f1_011_015,0-0-10-4,before,thursday's,sp,ey,eɪ,0,nvidia,F1,770.8658771079281
F1,usctimit_f1_011_015,0-0-10-4,before,thursday's,sp,ey,eɪ,0,nvidia,F2,371.52376592601615
F1,usctimit_f1_011_015,0-0-10-4,before,thursday's,sp,ey,eɪ,0,nvidia,F3,738.4664504454023
F1,usctimit_f1_011_015,0-0-28-1,wire,lay,near,ey,eɪ,0,orig_mri,F1,235.63671962100466
F1,usctimit_f1_011_015,0-0-28-1,wire,lay,near,ey,eɪ,0,orig_mri,F2,311.1763977257341
F1,usctimit_f1_011_015,0-0-28-1,wire,lay,near,ey,eɪ,0,orig_mri,F3,161.5521402421709
F1,usctimit_f1_011_015,0-0-28-1,wire,lay,near,ey,eɪ,0,meta,F1,139.5923421369934
F1,usctimit_f1_011_015,0-0-28-1,wire,lay,near,ey,eɪ,0,meta,F2,256.65957447961364
F1,usctimit_f1_011_015,0-0-28-1,wire,lay,near,ey,eɪ,0,meta,F3,205.5562646896865
F1,usctimit_f1_011_015,0-0-28-1,wire,lay,near,ey,eɪ,0,nvidia,F1,105.73257290948673
F1,usctimit_f1_011_015,0-0-28-1,wire,lay,near,ey,eɪ,0,nvidia,F2,277.51762355328776
F1,usctimit_f1_011_015,0-0-28-1,wire,lay,near,ey,eɪ,0,nvidia,F3,95.9810908122527
F1,usctimit_f1_011_015,0-0-13-4,exam,review,every,uw,u,0,orig_mri,F1,32.44865295953232
F1,usctimit_f1_011_015,0-0-13-4,exam,review,every,uw,u,0,orig_mri,F2,312.2870805108422
F1,usctimit_f1_011_015,0-0-13-4,exam,review,every,uw,u,0,orig_mri,F3,366.2422389661144
F1,usctimit_f1_011_015,0-0-13-4,exam,review,every,uw,u,0,meta,F1,29.79684392643615
F1,usctimit_f1_011_015,0-0-13-4,exam,review,every,uw,u,0,meta,F2,89.47757417888619
F1,usctimit_f1_011_015,0-0-13-4,exam,review,every,uw,u,0,meta,F3,233.72761606806532
F1,usctimit_f1_011_015,0-0-13-4,exam,review,every,uw,u,0,nvidia,F1,18.23667061311286
